,zipcode,Population,White,Black,Asian,Hispanic
10471,30746,1245.0,1245.0,0.0,0.0,0.0
10472,30747,16942.0,13896.0,2667.0,35.0,268.0
10473,30750,4563.0,4400.0,55.0,6.0,122.0
10474,30751,74.0,74.0,0.0,0.0,0.0
10475,30752,9235.0,8909.0,80.0,75.0,189.0
10476,30753,7206.0,6803.0,91.0,45.0,782.0
10477,30755,9072.0,8453.0,273.0,36.0,270.0
10478,30756,217.0,217.0,0.0,0.0,0.0
10479,30757,2365.0,2163.0,73.0,47.0,38.0
10480,30802,5463.0,4048.0,1244.0,61.0,51.0
10481,30803,655.0,519.0,129.0,1.0,0.0
10482,30805,2452.0,1794.0,585.0,5.0,33.0
10483,30807,92.0,33.0,52.0,0.0,2.0
10484,30808,4627.0,3808.0,807.0,0.0,217.0
10485,30809,41342.0,32178.0,5996.0,2144.0,1415.0
10486,30810,2122.0,1968.0,128.0,0.0,41.0
10487,30812,440.0,302.0,138.0,0.0,0.0
10488,30813,33290.0,23110.0,7461.0,660.0,4469.0
10489,30814,8280.0,6511.0,1568.0,56.0,252.0
10490,30815,41845.0,14587.0,23852.0,297.0,2611.0
10491,30816,2263.0,1410.0,817.0,0.0,80.0
10492,30817,7595.0,4952.0,2502.0,9.0,17.0
10493,30818,524.0,281.0,80.0,0.0,163.0
10494,30820,1417.0,730.0,613.0,0.0,13.0
10495,30821,938.0,380.0,558.0,0.0,0.0
10496,30822,820.0,745.0,75.0,0.0,0.0
10497,30823,1668.0,1147.0,463.0,0.0,2.0
10498,30824,17024.0,8612.0,8081.0,7.0,299.0
10499,30828,4016.0,1469.0,2460.0,80.0,0.0
10500,30830,14040.0,5515.0,8217.0,18.0,331.0
10501,30833,3544.0,1544.0,1925.0,32.0,60.0
10502,30901,16148.0,1646.0,14300.0,57.0,221.0
10503,30903,493.0,384.0,90.0,19.0,17.0
10504,30904,26108.0,13320.0,11803.0,447.0,1042.0
10505,30905,7185.0,3924.0,2037.0,215.0,1035.0
10506,30906,60634.0,19683.0,38636.0,617.0,1339.0
10507,30907,49959.0,38037.0,7566.0,2944.0,1406.0
10508,30909,38822.0,20660.0,15226.0,1237.0,1826.0
10509,30912,254.0,54.0,168.0,16.0,10.0
10510,31001,4745.0,2731.0,1848.0,39.0,138.0
10511,31002,2868.0,2405.0,408.0,13.0,0.0
10512,31003,152.0,137.0,15.0,0.0,0.0
10513,31005,15848.0,10267.0,4429.0,395.0,1034.0
10514,31006,4799.0,2343.0,2400.0,0.0,100.0
10515,31007,1105.0,334.0,676.0,2.0,155.0
10516,31008,18002.0,13393.0,3683.0,162.0,824.0
10517,31009,1545.0,1101.0,432.0,0.0,19.0
10518,31011,1088.0,824.0,226.0,0.0,12.0
10519,31012,3055.0,1765.0,1245.0,36.0,225.0
10520,31014,14095.0,9903.0,3788.0,31.0,407.0
10521,31015,22347.0,11734.0,10015.0,223.0,767.0
10522,31016,1139.0,511.0,628.0,0.0,0.0
10523,31017,1666.0,1189.0,475.0,0.0,0.0
10524,31018,2926.0,1397.0,1434.0,8.0,102.0
10525,31019,2265.0,2052.0,207.0,0.0,6.0
10526,31020,2383.0,1228.0,1088.0,0.0,10.0
10527,31021,27992.0,15309.0,11757.0,493.0,642.0
10528,31022,1399.0,1041.0,284.0,0.0,106.0
10529,31023,14377.0,9595.0,4176.0,103.0,394.0
10530,31024,20505.0,13961.0,5666.0,55.0,1372.0
10531,31025,1601.0,1046.0,499.0,21.0,30.0
10532,31027,10796.0,7096.0,3579.0,6.0,366.0
10533,31028,5201.0,3170.0,1103.0,566.0,221.0
10534,31029,16559.0,11274.0,4965.0,140.0,418.0
10535,31030,19756.0,7088.0,11168.0,148.0,1567.0
10536,31031,6697.0,4998.0,1487.0,0.0,21.0
10537,31032,13740.0,10725.0,2822.0,55.0,54.0
10538,31033,1921.0,1158.0,752.0,0.0,0.0
10539,31035,1431.0,678.0,708.0,5.0,45.0
10540,31036,12514.0,8404.0,3766.0,0.0,685.0
10541,31037,3810.0,2243.0,1511.0,14.0,246.0
10542,31038,774.0,723.0,51.0,0.0,0.0
10543,31039,0.0,0.0,0.0,0.0,0.0
10544,31041,1135.0,499.0,618.0,17.0,10.0
10545,31042,2144.0,788.0,1356.0,0.0,58.0
10546,31044,2546.0,1033.0,1501.0,0.0,6.0
10547,31045,77.0,53.0,24.0,0.0,0.0
10548,31046,3230.0,2455.0,706.0,30.0,43.0
10549,31047,10869.0,8882.0,1089.0,429.0,502.0
10550,31049,1721.0,1667.0,27.0,0.0,23.0
10551,31050,1146.0,995.0,142.0,0.0,0.0
10552,31051,202.0,124.0,78.0,0.0,37.0
10553,31052,8373.0,6137.0,1973.0,29.0,139.0
10554,31054,1770.0,1035.0,692.0,0.0,144.0
10555,31055,10033.0,5881.0,4117.0,0.0,1643.0
10556,31057,2078.0,724.0,1342.0,5.0,50.0
10557,31058,1401.0,1300.0,48.0,0.0,52.0
10558,31060,1884.0,1685.0,183.0,0.0,11.0
10559,31061,43970.0,23885.0,18420.0,732.0,941.0
10560,31062,278.0,115.0,163.0,0.0,6.0
10561,31063,5609.0,1849.0,3358.0,145.0,529.0
10562,31064,9252.0,6167.0,2519.0,79.0,457.0
10563,31065,852.0,435.0,389.0,1.0,3.0
10564,31066,1042.0,714.0,326.0,0.0,2.0
10565,31067,258.0,160.0,98.0,0.0,0.0
10566,31068,5254.0,1823.0,3151.0,30.0,171.0
10567,31069,20853.0,13304.0,6956.0,171.0,639.0
10568,31070,1171.0,901.0,270.0,0.0,11.0
10569,31071,1316.0,681.0,568.0,31.0,30.0
10570,31072,1494.0,1206.0,279.0,9.0,0.0
10571,31075,2561.0,1814.0,685.0,0.0,0.0
10572,31076,3196.0,2057.0,1092.0,27.0,75.0
10573,31077,1043.0,752.0,280.0,6.0,29.0
10574,31078,3310.0,1528.0,1690.0,24.0,0.0
10575,31079,2141.0,1418.0,715.0,0.0,0.0
10576,31081,265.0,265.0,0.0,0.0,0.0
10577,31082,10146.0,4497.0,5551.0,21.0,246.0
10578,31083,247.0,174.0,73.0,0.0,3.0
10579,31084,88.0,88.0,0.0,0.0,0.0
10580,31085,1153.0,812.0,303.0,0.0,83.0
10581,31087,9271.0,2156.0,6998.0,10.0,108.0
10582,31088,49883.0,31971.0,13096.0,1744.0,3210.0
10583,31089,4746.0,2237.0,2493.0,0.0,33.0
10584,31090,610.0,435.0,173.0,2.0,4.0
10585,31091,5354.0,2221.0,3071.0,0.0,188.0
10586,31092,6612.0,3167.0,3374.0,15.0,310.0
10587,31093,29558.0,15124.0,11924.0,293.0,2547.0
10588,31094,976.0,710.0,218.0,7.0,0.0
10589,31096,7310.0,3735.0,3241.0,209.0,64.0
10590,31097,1215.0,1037.0,167.0,0.0,15.0
